FIPS,County,Population2010,Population2011,Population2012,Population2013,Population2014,Population2015,Population2016,Population2017,Population2018
36001,Albany,304078,304564,305717,306613,307190,307476,307628,307717,307117
36003,Allegany,48962,48787,48201,47892,47646,47324,47039,46688,46430
36005,Bronx,1387353,1397366,1411715,1422340,1431538,1440726,1445237,1439725,1432132
36007,Broome,200478,199346,198658,197911,197251,195794,194345,192959,191659
36009,Cattaraugus,80230,79819,79354,79000,78685,77951,77708,77245,76840
36011,Cayuga ,79901,79693,79509,79090,78768,78300,77666,77463,77145
36013,Chautauqua,134725,134198,133302,132848,131750,130634,129350,128609,127939
36015,Chemung,88898,88893,89136,88192,87179,86718,85676,84874,84254
36017,Chenango,50401,50183,49887,49479,49326,48772,48317,47790,47536
36019,Clinton,82095,81716,81708,81516,81460,80723,80524,80567,80695
36021,Columbia,63026,62512,62435,62160,61938,61453,60882,60408,59916
36023,Cortland,49283,49378,49027,48907,48743,48296,47919,47836,47823
36025,Delaware ,47889,47578,47212,46801,46561,45954,45446,45020,44527
36027,Dutchess ,297731,298118,297048,296272,295146,294108,293049,293450,293718
36029,Erie ,919143,919747,919877,920883,921794,920543,918479,918794,919719
36031,Essex ,39350,39256,38863,38587,38311,37958,37675,37511,37300
36033,Franklin ,51652,51541,51789,51213,51102,50542,51077,50444,50293
36035,Fulton ,55462,55115,54853,54359,53945,53800,53604,53777,53591
36037,Genesee ,59940,59886,59682,59124,58740,58470,58022,57816,57511
36039,Greene ,49136,48850,48582,48304,47962,47634,47525,47474,47491
36041,Hamilton,4851,4826,4802,4766,4700,4699,4557,4481,4434
36043,Herkimer,64461,64373,64222,63881,63384,62654,62446,62209,61833
36045,Jefferson,116594,117769,120261,118515,118005,116403,113015,113063,111755
36047,Kings,2509877,2540822,2568876,2588501,2602680,2610607,2611232,2596385,2582830
36049,Lewis,27078,27023,27195,27100,27091,26830,26652,26576,26447
36051,Livingston,65239,64844,64793,64620,64586,64318,63942,63461,63227
36053,Madison,73440,72879,72413,72457,72204,71672,71291,70831,70795
36055,Monroe,744594,746711,747350,748326,747425,745376,743531,742436,742474
36057,Montgomery,50300,49901,49822,49738,49673,49579,49206,49216,49455
36059,Nassau,1341687,1346176,1349723,1352399,1355029,1355319,1356463,1357664,1358343
36061,New York,1588759,1608215,1624039,1627806,1630946,1636713,1636261,1629780,1628701
36063,Niagara,216479,215709,214713,214110,213322,212366,211534,210866,210433
36065,Oneida,234763,234203,233766,233356,232626,231234,230348,230127,229577
36067,Onondaga,467527,467571,467034,468181,467342,466233,464033,461791,461809
36069,Ontario,108164,108581,108600,109043,109334,109285,109267,109609,109864
36071,Orange,373453,374125,373814,374539,375181,376152,378047,379803,381951
36073,Orleans,42842,42634,42379,42220,41850,41457,41196,40759,40612
36075,Oswego,122141,121967,121450,121169,120588,119728,118881,118426,117898
36077,Otsego,62258,61964,61746,61614,60951,60497,60119,59903,59749
36079,Putnam,99661,99816,99625,99584,99459,99219,98812,98966,98892
36081,Queens,2234745,2255559,2272745,2288194,2300148,2307614,2309032,2296865,2278906
36083,Rensselaer,159341,159572,159427,159538,159661,159456,159334,159261,159442
36085,Richmond,469621,471001,470657,471898,472075,472521,474214,475516,476179
36087,Rockland,312502,315439,317216,319330,321176,323078,323640,324839,325695
36089,St. Lawrence,111811,112268,112357,111928,111437,110331,109411,108562,108047
36091,Saratoga,220105,221088,222466,224082,224518,226053,227048,229102,230163
36093,Schenectady,154864,154856,155020,154957,155042,154738,154473,154814,155350
36095,Schoharie,32692,32621,32044,31905,31773,31408,31307,31236,31097
36097,Schuyler,18326,18402,18484,18372,18164,18013,17948,17925,17912
36099,Seneca,35261,35314,35338,35227,34887,34814,34731,34327,34300
36101,Steuben,99012,99145,98926,98845,98173,97524,96895,96249,95796
36103,Suffolk,1494385,1498838,1497037,1497489,1495757,1492278,1486804,1483571,1481093
36105,Sullivan ,77477,77047,76931,76949,75647,74854,74977,75079,75498
36107,Tioga,51011,50872,50281,50110,49833,49360,48822,48650,48560
36109,Tompkins,101725,101801,102719,103553,103385,103018,102938,102678,102793
36111,Ulster,182409,182430,181535,180701,180419,179692,179080,178723,178599
36113,Warren,65670,65733,65418,65085,64870,64411,64428,64428,64265
36115,Washington,63343,63074,62980,62749,62464,62225,61767,61489,61197
36117,Wayne,93752,93246,93035,92350,91806,91284,90754,90372,90064
36119,Westchester,950631,956265,959729,964805,967407,969220,970556,969279,967612
36121,Wyoming,42121,41839,41692,41353,41129,40922,40406,40283,40085
36123,Yates,25375,25449,25334,25207,25148,25080,25023,24952,24841
